work_id,title,artist,route,url,source,format,notes
REC-190,Relations & Assimilations,Lily Greenham,direct,https://lilygreenham.bandcamp.com/album/lingual-music,Bandcamp (Paradigm Discs),2CD / digital,"Paradigm Discs Bandcamp: 2CD with 12-page booklet GBP 14, digital GBP 10. Also in stock at Soundohm (EUR 16.20) and Forced Exposure (PD.022CD)."
REC-192,Breadwoman & Other Tales,Anna Homler,direct,https://anna-homler.bandcamp.com/album/breadwoman-other-tales,Anna Homler Bandcamp (RVNG Intl.),digital; LP/CD via RVNG shop,Official Bandcamp for the 2016 RVNG Intl. collection (Homler & Steve Moshier); physical LP/CD direct from label at igetrvng.com/products/breadwoman-anna-homler.
REC-198,La fabbrica illuminata,Luigi Nono,presto-exact,https://www.prestomusic.com/classical/products/7977058--nono-la-fabbrica-illuminata-cancione,Presto Music,CD,"Tracklist verified: contains La fabbrica illuminata with Carla Henius (soprano, the work's premiere singer); currently out of stock at UK distributor but orderable (6+ weeks)"
REC-201,Speech Songs,Charles Dodge,presto-exact,https://www.prestomusic.com/classical/products/8367710--charles-dodge-synthesized-voices,Presto Music,download (FLAC/MP3),"Complete Speech Songs (4 songs, 7:11), composer's original recording; also In Celebration and The Story of Our Lives"
REC-202,Automatic Writing,Robert Ashley,direct,https://robert-ashley.bandcamp.com/album/automatic-writing,Lovely Music Bandcamp,digital,Official Lovely Music 2017 reissue page; digital $10+ (FLAC/16-bit). No physical currently offered on Bandcamp; Forced Exposure lists an LP (LML.1002LP).
REC-203,Six Fantasies on a Poem by Thomas Campion,Paul Lansky,presto-exact,https://www.prestomusic.com/classical/products/8069647--paul-lansky-fantasies-and-tableaux,Presto Music,Download (FLAC/MP3),New World NWCR683 (CRI series); Six Fantasies on a Poem by Thomas Campion (Hannah MacKay voice) confirmed in verified tracklist; original recording
REC-204,Perfect Lives,Robert Ashley,direct,https://robert-ashley.bandcamp.com/album/perfect-lives,Bandcamp (Lovely Music),digital,"Official Robert Ashley Bandcamp under Lovely Music; full 7-part TV opera, digital $15+, 16-bit FLAC. No CD/vinyl on the page."
REC-207,Different Trains,Steve Reich,presto-exact,https://www.prestomusic.com/classical/products/7954465--reich-different-trains-electric-counterpoint,Presto Music,"CD, download (FLAC/MP3)","Original 1988 Kronos Quartet recording (Grammy 1989, with Pat Metheny in Electric Counterpoint). Alt recording on Signum SIGCD064, CD or download: https://www.prestomusic.com/classical/products/7939272--reich-different-trains"
REC-210,WTC 9/11,Steve Reich,presto-exact,https://www.prestomusic.com/classical/products/8003409--steve-reich-wtc-9-11,Presto Music,"download (FLAC/ALAC/WAV 16/44.1, MP3)","Original Kronos recording, download only. Same-work CD alternative also on Presto: Reich WTC 9/11 & Different Trains (Megadisc MDC7877, product 8173880); also in Steve Reich: Collected Works 26CD box (product 9746628)."
REC-212,8980 Book of Travelers,Gabriel Kahane,direct,https://store.nonesuch.com/products/book-of-travelers-digital-hd-flac-album-96khz-24bit,Nonesuch Store,FLAC download (96kHz/24-bit),"HD FLAC $10 (on sale $7.50); same store also sells standard FLAC ($10), MP3 ($9) and translucent orange LP+MP3 ($15); artist Bandcamp (gabrielkahane.bandcamp.com/album/book-of-travelers) is an alternative with vinyl $25"
REC-213,Dots,Norman McLaren,stream,https://www.nfb.ca/film/dots/,NFB (National Film Board of Canada),stream,1940 film; official NFB film page — NFB streams its collection free of charge; page also shows purchase/rental options
REC-215,Artikulation with Wehinger Horpartitur,Gyorgy Ligeti / Rainer Wehinger,presto-exact,https://www.prestomusic.com/classical/products/7977051--ligeti-continuum,Presto Music,CD,"Wergo WER60161-50 (Elektronisches Studio des WDR Köln) listed on Presto's Artikulation works page; alt: Les Espaces Electroacoustiques, Col Legno COL40002, 2 SACDs"
REC-216,Five Piano Pieces for David Tudor,Sylvano Bussotti,presto-alt,https://www.prestomusic.com/classical/products/8063340--fluxus-piano,Presto Music,"CD, download (FLAC/MP3)","Presto works page works/270180 'Piano Pieces (4) for David Tudor' lists this as the only recording — 4 of the 5 pieces, Schleiermacher not Tudor. Also: Piano Piece for David Tudor III on 'David Tudor plays Cage, Wolff and Feldman' (edition rz RZ1018/19, 2 CDs, via works/177702). No WERGO five-piece set on Presto."
REC-217,Mobile fur Shakespeare,Roman Haubenstock-Ramati,presto-alt,https://www.prestomusic.com/classical/products/8066654--mobile-for-shakespeare,Presto Music,"CD, download","Alt recording: Ensemble Avantgarde, Leipziger Streichquartett, Beat Furrer (hat, 1999) - not the 1960 WERGO recording; title album for the work"
REC-219,Oramics compositions,Daphne Oram,direct,https://daphneoram.bandcamp.com/album/oramics,Paradigm Discs Bandcamp,2CD GBP 14 / digital GBP 10,Oramics 2CD (PD21) with 16-page booklet on the label's own Bandcamp; also at Boomkat (MP3/FLAC/WAV + CD PD21DCD) and Forced Exposure (2024 restock)
REC-225,datamatics,Ryoji Ikeda,direct,https://www.qobuz.com/us-en/album/dataplex-ryoji-ikeda/dtm50ylhkqofa,Qobuz,digital,"No album titled 'datamatics' exists; dataplex (r-n068 2005) is the first datamatics-series release. Raster's own shop: current shop lists no Ikeda; old shop dataplex CD EUR 16.40 out of stock; commmons mart (Japan) CD sold out with restock noted. Qobuz sells the download; Bleep has MP3 $9.99. datamatics [prototype-ver.] was a video/installation edition, not a raster audio product."
REC-226,test pattern,Ryoji Ikeda,direct,https://bleep.com/release/11524-ryoji-ikeda-test-pattern,Bleep,digital,"raster-media.net shop does not surface a test pattern product; Bleep carries the release (lossless download). CD (R-N 093) is backorderable at Forced Exposure ($17, 1-2 weeks) and out of stock at Soundohm."
REC-227,unitxt,Carsten Nicolai (Alva Noto),direct,https://boomkat.com/products/unitxt-e566c3e4-2bba-4a91-bc37-051448b06177,Boomkat,CD/download per listing,raster-media.net shop search returns no unitxt product (label stock apparently gone; r-n 095 from 2008). Boomkat product page verified via search results; Boomkat blocks bots so stock/format not re-confirmed. Fallback: Discogs secondhand (release 1334140).
REC-229,Four Violins,Tony Conrad,secondhand,https://www.discogs.com/release/577568-Tony-Conrad-Four-Violins-1964,Discogs,"LP (Table of the Elements 17 Cl, 1996)",Full piece is out of print. tableoftheelements.bandcamp.com only has a 3:07 edit with no digital purchase; tableoftheelements.co.uk page is archival with no buy option; Soundohm copy sold out. Superior Viaduct did NOT reissue this title (they did Outside the Dream Syndicate / Ten Years Alive).
REC-232,Outside the Dream Syndicate,Tony Conrad with Faust,direct,https://www.superiorviaduct.com/products/tony-conrad-with-faust-outside-the-dream-syndicate-cd,Superior Viaduct,CD,CD $10 mastered from original tapes; SV LP ($20) sold out. Also stocked by Forced Exposure (SV.048CD) / Norman Records / Boomkat
REC-233,Adnos I-III,Eliane Radigue,presto-alt,https://www.prestomusic.com/classical/products/8615888--eliane-radigue-oeuvres-electroniques,Presto Music,14 CDs,Tracklist verified to include Adnos I-III; INA-GRM electronic-works box rather than the Important Records 3-CD edition. Out of stock at UK distributor but orderable.
REC-235,Nothin to Look at Just a Record,Phill Niblock,direct,https://www.forcedexposure.com/Catalog/niblock-phill-nothin-to-look-at-just-a-record-lp/SV.033LP.html,Forced Exposure,"LP (Superior Viaduct SV033), USD 25.00","In stock but LOW STOCK, no restock estimate. Superior Viaduct's own shop is sold out; their Niblock Bandcamp (phillniblock-sv.bandcamp.com) has no digital of this title. Grab it soon or fall back to Discogs."
REC-237,Schlingen-Blangen,Charlemagne Palestine,presto-exact,https://www.prestomusic.com/classical/products/7993703--palestine-schlingen-blangen,Presto Music,CD,"Charlemagne Palestine, organ; $16.75. The New World/CRI release referenced."
REC-238,Kyema Intermediate States,Eliane Radigue,presto-exact,https://www.prestomusic.com/classical/products/8615888--eliane-radigue-oeuvres-electroniques,Presto Music,"14 CDs ($131.00, order-on-demand)","Kyema included within Trilogie de la Mort (Kyema, Kailasha, Koume) — same tape realization in the official inaGRM complete-electronic-works box; tracklist verified on Presto page. Standalone XI Records album not stocked."
REC-239,Trilogie de la Mort,Eliane Radigue,presto-alt,https://www.prestomusic.com/classical/products/8615888--eliane-radigue-oeuvres-electroniques,Presto Music,14 CDs,"inaGRM box INA6060-74 (2025); verified tracklist includes Trilogie De La Mort (Kyema, Kailasha, Koumé); not the XI Records edition"
REC-240,Touch Works for Hurdy Gurdy and Voice,Phill Niblock,direct,https://phillniblock.bandcamp.com/album/touch-works-for-hurdy-gurdy-and-voice,Touch (Phill Niblock Bandcamp),digital,Digital GBP 6+ (FLAC); limited CD edition sold out on the same page. Touch catalogue TO:49.
REC-241,String Quartet No. 4 Amazing Grace,Ben Johnston / Kepler Quartet,presto-exact,https://www.prestomusic.com/classical/products/7993732--ben-johnston-string-quartets-nos-2-3-4-9,Presto Music,"CD, download","Kepler Quartet; contains String Quartet No. 4 'Amazing Grace'. Companion Kepler volumes NW80693 (Nos. 1/5/10, product 7996452) and NW80730 (Nos. 6/7/8, product 8121246) also on Presto"
REC-242,Through Glass Panes,Ellen Fullman,direct,https://ellenfullman.bandcamp.com/album/through-glass-panes,Bandcamp (artist official),Digital USD 8,Fullman's own Bandcamp (digital only); the Important Records CD (IMPREC336) is also new at importantrecords.com/products/imprec336 and Forced Exposure
REC-244,Live at Issue Project Room,Catherine Christer Hennix,direct,https://www.forcedexposure.com/Catalog/hennix-catherine-christer-live-at-issue-project-room-cd/IMPREC.434CD.html,Forced Exposure,CD (deluxe letterpressed sleeve),IMPREC 434CD in stock $16.50 (restocked); Important Records' own store lists the CD sold out at $15 and no imprec.bandcamp.com album page was found; Norman Records also sold out
REC-246,FRKWYS Vol. 14 Nue,Tashi Wada with Yoshi Wada,direct,https://tashiwada.bandcamp.com/album/frkwys-vol-14-nue,Bandcamp (Tashi Wada / RVNG Intl),digital / LP / CD,Artist Bandcamp with 24-bit/48kHz download; physical LP/CD also at igetrvng.com/products/frkwys14.
REC-256,Java Court Gamelan,Pura Paku Alaman dir. Wasitodipuro,direct,https://store.nonesuch.com/products/java-court-gamelan-digital-mp3-album,Nonesuch Official Store,digital (MP3),Official Nonesuch store MP3 album ($8.00); 2003 remaster of the 1971 Explorer LP H-72044; also on Apple Music/Spotify; original LP via Discogs if physical wanted
REC-258,Nihavent Taksim Saz Semaisi,Necdet Yasar,direct,https://www.kitapyurdu.com/kitap/necdet-yasar-2/340976.html,Kitapyurdu (Turkish retailer),CD (Kalan Arsiv Serisi),Catalogue's 1973 release remains unverified. What is acquirable: Kalan archive-series CD 'Necdet Yasar 2' (1998) via Kitapyurdu; 'Niyazi Sayin & Necdet Yasar No. 2' (Kalan) streams on Apple Music (music.apple.com/us/album/736374664). Qobuz search returns no Necdet Yasar albums.
REC-264,Wasla d'Alep Muwashshah Qultu Lamma,Sabri Moudallal,direct,https://music.apple.com/us/album/syrie-wasla-dalep-syria-wasla-daleppo/166249428,Apple Music / iTunes,digital (AAC),Inedit W260007 digitized as 'Syrie. Wasla d'Alep' by Sabri Moudallal et Son Ensemble; tracklist includes Muwashshah Qultu Lamma; NOT on Qobuz (search verified zero Moudallal matches); also Amazon digital (amazon.com/dp/B00162B0WS); physical Inedit CD secondhand via Discogs
REC-265,Bali Gamelan Semar Pegulingan,Semar Pegulingan Club of Teges Kanyinan,direct,https://www.qobuz.com/be-nl/album/bali-ganelan-semar-pegulingan-gamelan-of-the-love-god-bali-gamelan-semar-pegulingan/0081227775360,Qobuz,FLAC 16/44.1 download,Official Nonesuch 2005 digital reissue of the 1972 Explorer LP; verified purchasable from EUR 8.19. Nonesuch also lists the album at nonesuch.com; original LP on Discogs if vinyl wanted.
REC-273,Uzbekistan Shashmaqam,Munojot Yulchieva & Ensemble Shavkat Mirzaev,presto-exact,https://www.prestomusic.com/jazz/products/8893268--ouzbekistan-monajat-yultchie,Presto Music,CD,"2008 Ocora reissue of the same 1994 Ferghana maqam recording (orig. C560060) - same recording, so exact. CD EUR 19.89, 3 in stock. Listed in Presto's Jazz department."
REC-279,Uyghur Muqam Ensemble Silk Road survey,Xinjiang Uyghur Muqam Ensemble,presto-alt,https://www.prestomusic.com/classical/products/8017956--ayshemgul-memet-the-female-voice-of-uyghur-muqams-and-folk-songs,Presto Music,"CD, download","Smithsonian Folkways Twelve Muqam album not on Presto; no Inedit/Ocora muqam sets found. Alt muqam recordings: Ayshemgul Memet (Dreyer Gaido) and Folk Songs of the Uyghur Peoples (Naxos World NXW761052, jazz/products/9722588)."
REC-280,Borderlands Music of Central Asia Vol. 10,Wu Man and Master Musicians from the Silk Route,direct,https://folkways.si.edu/wu-man-and-master-musicians-from-the-silk-route/music-of-central-asia-vol10-borderlands/world/album/smithsonian,Smithsonian Folkways,CD+DVD / digital,"Label's own shop; final volume of Music of Central Asia series, CD+DVD with 48-page booklet, download also sold direct."
REC-281,Ottoman court makam revival concert,Bezmara Ensemble,presto-alt,https://www.prestomusic.com/jazz/products/8029644--bezmara-splendours-of-topkapi,Presto Music,Download,"Same ensemble, Ottoman court makam repertoire, Naive OP30266; the 2012 Kalan Muzik album itself is not on Presto"
REC-282,Brian Jones Presents the Pipes of Pan at Joujouka,Master Musicians of Jajouka,presto-alt,https://www.prestomusic.com/classical/products/7931640--the-master-musicians-of-jajouka,Presto Music,download,"Later ensemble recording featuring Bachir Attar (with Talvin Singh et al.), not the 1968 Brian Jones Presents the Pipes of Pan at Joujouka (Rolling Stones Records), which Presto does not stock."
REC-283,A Rainbow in Curved Air,Terry Riley,presto-exact,https://www.prestomusic.com/classical/products/9809846--terry-riley-the-columbia-recordings,Presto Music,4 CDs,"2025 remastered box containing the original 1969 A Rainbow in Curved Air album alongside In C, Church of Anthrax and Shri Camel; standalone Rainbow album not listed separately (works page shows no results)"
REC-284,Music in Twelve Parts,Philip Glass,presto-alt,https://www.prestomusic.com/classical/products/7986599--the-philip-glass-ensemble-a-retrospective,Presto Music,2 CDs,"Excerpts only — no complete Music in Twelve Parts on Presto (Nonesuch and Orange Mountain complete sets not stocked). Presto's works page for Part 1 lists this Philip Glass Ensemble album and Philip Glass: Rework (OMM0082, products/8025199); composer page also lists Part 2 on one product."
REC-285,Dolmen Music,Meredith Monk,presto-exact,https://www.prestomusic.com/classical/products/7963261--meredith-monk-dolmen-music,Presto Music,"CD, Download",Original 1981 ECM album; also included in 'Meredith Monk - The Recordings' 13-CD ECM box https://www.prestomusic.com/classical/products/9380262--meredith-monk-the-recordings
REC-286,Q-Loop,Basic Channel,direct,https://hardwax.com/00205/basic-channel/q-loop/,Hard Wax,vinyl 12in + digital,In stock at Hard Wax: 12\ €12
REC-287,Minimal Nation,Robert Hood,direct,https://m-plant.bandcamp.com/album/minimal-nation,M-Plant official Bandcamp,"Digital (FLAC 16/44.1), EUR 10+",Verified purchasable; 2009 remastered special edition with rare/unreleased bonus tracks. Vinyl not offered on this page.
REC-289,Rhythms of Rapture Sacred Musics of Haitian Vodou,various,direct,https://folkways.si.edu/rhythms-of-rapture-sacred-musics-of-haitian-vodou/caribbean-world/music/album/smithsonian,Smithsonian Folkways,CD/download,SFW 40464; Folkways keeps its whole catalogue in print as custom CD and digital download from this page; proceeds partly benefit Haitian community projects
REC-296,Legacy,RP Boo,presto-exact,https://www.prestomusic.com/jazz/products/9593633--legacy,Presto Music,"CD (EUR 11.63, in stock)","Listed in Presto's jazz section. Presto also stocks RP Boo 'Legacy Volume 2', 'I'll Tell You What' and 'The Ultimate' (jazz search 'RP Boo', 5 items)."
REC-298,Tanburi Cemil Bey taksim recordings,Tanburi Cemil Bey,direct,https://www.forcedexposure.com/Catalog/cemil-bey-tanburi-volumes-2-3-2cd/TC.4274.html,Forced Exposure,2CD,"Traditional Crossroads TC 4274 Volumes 2 & 3, original 1910-14 acoustic recordings incl. taksims; verified in stock $22. Kalan 10-disc Kulliyati is not on Qobuz; Qobuz Kalan hits are modern tribute performances, not the historical recordings."
REC-299,Music of India Morning and Evening Ragas,Ali Akbar Khan,presto-alt,https://www.prestomusic.com/jazz/products/8636287--the-rough-guide-to-ali-akbar-khan,Presto Music,CD,"The 1955 Music of India: Morning and Evening Ragas album itself is not on Presto. Closest: this AAK compilation (incl. a Pilu; source recordings not confirmed as the 1955 tracks) - currently out of stock at distributor, orderable. Also on Presto: Raga Mishra Piloo Live at Carnegie Hall 1982 with Ravi Shankar (Warner Classics 9029525802, download) and Raga Sindhi Bhairavi with L. Subramaniam (Delos RS0103, download) - different recordings."
REC-301,Jean Ritchie and Doc Watson at Folk City,Jean Ritchie & Doc Watson,direct,https://folkways.si.edu/jean-ritchie-and-doc-watson-at-folk-city/american-folk-old-time/music/album/smithsonian,Smithsonian Folkways,CD or digital download,SFW 40005; CD $16.98 / digital download $9.99 direct from Folkways; 1990s reissue of Folkways 2426 (1963) with four previously unreleased tracks; page verified with track list and prices
REC-302,Sarangi The Voice of a Hundred Colors,Ram Narayan,presto-alt,https://www.prestomusic.com/classical/products/8068616--r-g-shankara-r-g-mala-in-jogia,Presto Music,CD or download,"Same artist, 1989 Nimbus studio recording (71 min). The 1968 Nonesuch Explorer album is not on Presto; URL seen in site-restricted search results (product page blocked to crawlers but listed as 'CD or download')."
REC-303,Music of Bulgaria,Nonesuch Explorer various,presto-exact,https://www.prestomusic.com/jazz/products/8434748--music-of-bulgaria-ensemble-of-the-bulgarian-republic-koutev,Presto Music,Download,"Official Nonesuch digital reissue, catalogue 7559798509"
REC-305,Sardaigne launeddas,Luigi Lai & Aurelio Porcu,secondhand,https://www.discogs.com/master/1277149-Luigi-Lai-Aurelio-Porcu-Sardaigne-Launeddas,Discogs,"LP (Ocora 558611, 1984)",Never reissued on CD or digitally; not in Ocora's Qobuz catalogue (searched). Copies also for sale at sofarecords.fr and cdandlp.com. Credited to Luigi Lai / Aurelio Porcu.
REC-309,Mongolia Traditional Music,UNESCO Collection various,direct,https://folkways.si.edu/mongolia-traditional-music/world/music/album/smithsonian,Smithsonian Folkways,CD / digital download,2014 Smithsonian Folkways digital reissue (UNES08207) of the 1991 UNESCO/Auvidis disc; Folkways album pages sell custom CD plus FLAC/MP3 download; URL verified via search results (folkways.si.edu blocks automated fetch)
REC-311,Iran Kurdish Tanbur Music of the Ahl-e Haqq,various,secondhand,https://www.discogs.com/release/6609103-Kurds-Kurdistan-Zikr-Et-Chants-Soufis,Discogs,2CD,"'Kurdish Tanbur Music of the Ahl-e Haqq' unconfirmed as an Ocora release. Nearest confirmed title 'Kurdistan: Zikr et chants soufis' (During, Ocora C 560071-72, 1994) is out of print; neither title found on Qobuz. Acquirable secondhand via Discogs/eBay"
REC-314,Rainforest II,David Tudor,presto-exact,https://www.prestomusic.com/classical/products/7993682--john-cage-david-tudor-rainforest-mureau,Presto Music,"2 CDs, Download","New World recording of Tudor's Rainforest (with Cage's Mureau), matching the label hint; alt: David Tudor: Rainforest (Versions 1 & 4) — Mode MOD-CD-64, download, Tudor/Kosugi https://www.prestomusic.com/classical/products/8461523--david-tudor-rainforest-versions-1-4"
REC-315,Bird and Person Dyning,Alvin Lucier,direct,https://alvinluciercramps.bandcamp.com/album/bird-and-person-dyning,Bandcamp (Dialogo / Cramps),digital,"Route hint corrected: the reissue is Dialogo's Cramps Nova Musicha series (2021), not Black Truffle. EUR 10 digital on official Bandcamp; 300-copy LP was via Soundohm and may be gone."
REC-316,Music on a Long Thin Wire,Alvin Lucier,direct,https://alvinlucierlovely.bandcamp.com/album/music-on-a-long-thin-wire,Lovely Music / Alvin Lucier Bandcamp,digital (lossless download + streaming),"Official Lucier Bandcamp for the Lovely Music catalogue (LCD 1011, 4 tracks Wire I-IV). CD also listed at lovely.com/titles/cd1011.html and Soundohm."
REC-320,Deep Listening,Pauline Oliveros Stuart Dempster Panaiotis,direct,https://www.qobuz.com/fr-fr/album/deep-listening-pauline-oliveros-stuart-dempster-panaiotis/wgmaoqezavux5,Qobuz,digital,"New Albion defunct; the Important Records 2022-era 30th-anniversary reissue (IMPREC 473, 2LP/CD/cassette) is confirmed but sold out at importantrecords.com, Forced Exposure and Soundohm, and not on imprec Bandcamp. Qobuz sells the hi-res download of the original album; physical now secondhand via Discogs master 521491."
REC-321,Kikoeru,Akio Suzuki,presto-alt,https://www.prestomusic.com/classical/products/7996575--suzuki-a-na-gi-1997-calm,Presto Music,"CD (EUR 22.22, 8-10 working days)","'Kikoeru' itself is not on Presto, but Presto lists Akio Suzuki (b.1941) as a composer with this solo edition RZ release; he also appears on the Auckland Festival compilation 's3d (ear & eye): Live at Galatos AK07' (classical/products/7983242)."
REC-322,+/- the infinite between 0 and 1,Ryoji Ikeda,direct,https://ryojiikedareleases.bandcamp.com/album/-,Bandcamp (Touch),digital,"Official Ryoji Ikeda [Touch Releases] Bandcamp page for +/- (TO:30, 1996), £7+ FLAC. Forced Exposure also lists the TO.030 CD; catalogue page at touch33.net."
REC-324,Labyrinthitis,Jacob Kirkegaard,direct,https://jacobkirkegaardreleases.bandcamp.com/album/labyrinthitis,Jacob Kirkegaard official Bandcamp,digital (lossless download),"Artist's official Bandcamp page for the Touch release (TO:35, 2008). Touch catalogue page at touch33.net/catalogue/tone-35-jacob-kirkegaard-labyrinthitis.html; physical via Soundohm."
REC-325,Spectral Malsconcities,Sarah Hennies,presto-exact,https://www.prestomusic.com/classical/products/8844328--sarah-hennies-spectral-malsconcities,Presto Music,"CD, download",The referenced New World Records release; performed by Bearthoven/Bent Duo per label.
